,series,booktitle,year,title,abstract,authors,pdf1page,pdfarticle,titleLemma,abstractLemma
377,Revue des Nouvelles Technologies de l'Information,EGC,2014,Vectorisation paramétrée des données textuelles,"Automatic processing of textual data enables users to analyze semi-automatically and on alarge scale the data. This analysis is based on two successive processes: (i) representation oftexts, (ii) gathering of textual data (clustering). The software described in this paper focuses onthe first step of the process by offering expert a parameterized representation of textual data.","Célia Da Costa Pereira, Mathieu Lafourcade, Patrick Lloret, Cédric Lopez, Mathieu Roche",http://editions-rnti.fr/render_pdf.php?p1&p=1001987,http://editions-rnti.fr/render_pdf.php?p=1001987,vectorisation paramétrer donnée textuelles,"Automatic processing of textual data enables users to analyze semi-automatically and on alarge scale the data. This analysis is based on two successive processes: (i) representation oftexts, (ii) gathering of textual data (clustering). The software described in this paper focuses onthe first step of the process by offering expert a parameterized representation of textual data."
378,Revue des Nouvelles Technologies de l'Information,EGC,2014,Vers une classification non supervisée adaptée pour obtenir des arbres de décision simplifiés,"L'induction d'arbre de décision est une technique puissante et populairepour extraire de la connaissance. Néanmoins, les arbres de décision obtenusdepuis des données issues du monde réel peuvent être très complexes et donc difficilesà exploiter. Dans ce cadre, cet article présente une solution originale pouradapter le résultat d'une classification non supervisée quelconque afin d'obtenirdes arbres de décision simplifiés pour chaque cluster.","Olivier Parisot, Yoanne Didry, Pierrick Bruneau, Thomas Tamisier",http://editions-rnti.fr/render_pdf.php?p1&p=1001965,http://editions-rnti.fr/render_pdf.php?p=1001965,ver classification non supervisée adapter obtenir arbre décision simplifiés,"l'induction d'arbre décision technique puissante populairepour extraire connaissance . néanmoins , arbre décision obtenusdepuis donnée issir monde réel pouvoir complexe difficilesà exploiter . dans cadre , article présent solution original pouradapter résultat d'une classification non supervisée quelconque afin d'obtenirdes arbre décision simplifiés cluster ."
379,Revue des Nouvelles Technologies de l'Information,EGC,2014,Vers une modularité pour données vectorielles,"La modularité, introduite par Newman pour mesurer la qualité d'unepartition des sommets d'un graphe, ne prend pas en compte d'éventuelles valeursassociées à ces sommets. Dans cet article, nous introduisons une mesure de modularitécomplémentaire, basée sur l'inertie, et adaptée pour évaluer la qualitéd'une partition d'éléments représentés dans un espace vectoriel réel. Cette mesurese veut un pendant pour la classification non supervisée de la modularitéde Newman. Nous présentons également 2Mod-Louvain, une méthode utilisantce critère de modularité basée sur l'inertie conjointement à la modularité deNewman pour détecter des communautés dans des réseaux d'information. Lesexpérimentations que nous avons menées ont montré qu'en exploitant à la foisles données relationnelles et vectorielles, 2Mod-Louvain détectait plus efficacementles communautés que des méthodes utilisant un seul type de données etqu'elle était robuste face à des dégradations des données.","David Combe, Christine Largeron, Elod Egyed-Zsigmond, Mathias Géry",http://editions-rnti.fr/render_pdf.php?p1&p=1001914,http://editions-rnti.fr/render_pdf.php?p=1001914,ver modularité donnée vectorielles,"la modularité , introduire newman mesurer qualité d'unepartition sommet d'un graphe , prendre compte d'éventuelles valeursassociées sommet . dans article , introduisons mesure modularitécomplémentaire , baser l'inertie , adapter évaluer qualitéd'une partition d'éléments représenter espace vectoriel réel . cette mesurese vouloir pendant classification non supervisée modularitéde newman . nous présenter également 2mod-louvain , méthode utilisantce critère modularité baser l'inertie conjointement modularité denewman détecter communauté réseau d'information . lesexpérimentations mener montrer qu'en exploitant foisles donnée relationnelles vectorielles , 2mod-louvain détecter plus efficacementles communauté méthode utiliser seul type donnée etqu'elle robuste face dégradation donnée ."
380,Revue des Nouvelles Technologies de l'Information,EGC,2014,Visualisation de données de prosopographie pour la reconstruction de carrières de personnages et de réseaux socio-professionnels,"Dans cet article nous présentons deux approches de visualisation développéesdans le cadre d'un projet collaboratif sur l'accès et l'exploitation desdonnées prosopographiques de la Renaissance en France. L'objectif du projetest de modéliser et réaliser un portail sémantique assurant l'accès à différentesbases de données prosopographiques existantes afin de permettre une meilleureexploration et exploitation de ces données. Dans ce cadre, nous avons proposédeux interfaces de visualisation ProsoGraph et ProsoMap qui s'appuient respectivementsur la visualisation de graphes de réseaux sociaux et la visualisationde lieux géographiques et de trajectoires spatio-temporelles. Les deux interfacescommuniquent avec le portail via une couche sémantique et lui offrent des fonctionnalitésd'interrogation supplémentaires.","Nizar Messai, Thomas Devogele",http://editions-rnti.fr/render_pdf.php?p1&p=1001978,http://editions-rnti.fr/render_pdf.php?p=1001978,visualisation donnée prosopographie reconstruction carrière personnage réseau socio-professionnels,"dans article présenter approche visualisation développéesdans cadre d'un projet collaboratif l'accès l'exploitation desdonnées prosopographiques renaissance france . l'objectif projetest modéliser réaliser portail sémantique assurer l'accès différentesbases donnée prosopographiques existantes afin permettre meilleureexploration exploitation donnée . dans cadre , proposédeux interface visualisation prosograph prosomap s'appuient respectivementsur visualisation graphe réseau sociaux visualisationde lieux géographiques trajectoire spatio-temporelles . les interfacescommuniquent portail via couche sémantique offrir fonctionnalitésd'interrogation supplémentaires ."
381,Revue des Nouvelles Technologies de l'Information,EGC,2013,20 ans de découverte de motifs : une étude bibliographique quantitative,"Depuis deux décennies, la découverte de motifs a été l'un des champs de recherche les plus actifs de l'exploration de données. Cet article en établit une étude bibliographique quantitative en nous appuyant sur 1030 publications issues de 5 conférences internationales majeures : KDD, PKDD, PAKDD, ICDM et SDM. Nous avons d'abord mesuré depuis 2005 un sévère ralentissement de l'activité de recherche dédiée à la découverte de motifs. Puis, nous avons quantifié les principales contributions en terme de langages, de contraintes et de représentations condensées de sorte à comprendre ce ralentissement et à esquisser les directions actuelles.","Arnaud Giacometti, Dominique Haoyuan Li, Arnaud Soulet",http://editions-rnti.fr/render_pdf.php?p1&p=1001830,http://editions-rnti.fr/render_pdf.php?p=1001830,20 an découverte motif : étude bibliographique quantitative,"depuis décennie , découverte motif l'un champ rechercher plus actif l'exploration donnée . cet article établir étude bibliographique quantitative appuyer 1030 publication issir 5 conférence international majeure : kdd , pkdd , pakdd , icdm sdm . nous d'abord mesurer 2005 sévère ralentissement l'activité recherche dédier découverte motif . puis , quantifier principale contribution terme langage , contrainte représentation condensées sortir comprendre ralentissement esquisser direction actuelles ."
382,Revue des Nouvelles Technologies de l'Information,EGC,2013,3D : de nouvelles perspectives en fouille exploratoire avec la stéréoscopie,"Si la 3D est un sujet de débat dans la communauté, les expériences sur lesquelles s'appuient les discussions concernent le plus souvent des restitutions visuelles basées sur une projection classique en perspective linéaire. L'objectif de cette communication est de renouveler le cadre expérimental en étudiant l'impact de l'ajout de la disparité binoculaire. Nous nous focalisons ici sur une tâche importante en analyse de réseaux : l'identification de communautés. Et nous comparons la 3D monoscopique et la 3D stéréoscopique à la fois pour la performance de résolution de la tâche et pour le comportement exploratoire à travers l'analyse du mouvement du pointeur de la souris et de la dynamique des modifications de points de vue sur les graphes. Nos résultats expérimentaux mettent en évidence des performances significativement meilleures pour la 3D stéréoscopique et des différences comportementales dans l'exploration avec un centrage plus important sur des zones restreintes en stéréoscopie.","Nicolas Greffard, Fabien Picarougne, Pascale Kuntz",http://editions-rnti.fr/render_pdf.php?p1&p=1001831,http://editions-rnti.fr/render_pdf.php?p=1001831,3d : nouveau perspective fouille exploratoire stéréoscopie,"si 3d débat communauté , expérience lesquelles s'appuient discussion concerner plus souvent restitution visuel baser projection classique perspective linéaire . l'objectif communication renouveler cadre expérimental étudier l'impact l'ajout disparité binoculaire . nous focaliser tâche importante analyser réseau : l'identification communauté . et comparer 3d monoscopique 3d stéréoscopique performance résolution tâche comportement exploratoire travers l'analyse mouvement pointeur souris dynamique modification point vue graphe . nos résultat expérimentaux mettre évidence performance significativement meilleur 3d stéréoscopique différence comportementales l'exploration centrage plus important zone restreintes stéréoscopie ."
383,Revue des Nouvelles Technologies de l'Information,EGC,2013,A POS Tagger analysed in collaboration environments and literary texts,"Part-of-speech (POS) tagging is often used in other modules of natural language processing and therefore the results of this process should be as precise as possible. Many different types of taggers have been developed to improve the accuracy of the results in the field of literature or newspapers. Nowadays when the internet is widespread, the environments for online collaboration as chats, forums, blogs, wikis have become important means of communication. The purpose of this research is to analyse the results of tagging the words obtained from the labelling of the words from the online collaboration environments and literary texts with the corresponding parts of speech. In the case of POS tagging, the ambiguities arise due to the fact that a word may have multiple morphological values depending on context.","Dumitru-Clementin Cercel, Stefan Trausan-Matu",http://editions-rnti.fr/render_pdf.php?p1&p=1001847,http://editions-rnti.fr/render_pdf.php?p=1001847,A POS Tagger analysed in collaboration environments and literary texts,"Part-of-speech (POS) tagging is often used in other modules of natural language processing and therefore the results of this process should be as precise as possible. Many different types of taggers have been developed to improve the accuracy of the results in the field of literature or newspapers. Nowadays when the internet is widespread, the environments for online collaboration as chats, forums, blogs, wikis have become important means of communication. The purpose of this research is to analyse the results of tagging the words obtained from the labelling of the words from the online collaboration environments and literary texts with the corresponding parts of speech. In the case of POS tagging, the ambiguities arise due to the fact that a word may have multiple morphological values depending on context."
384,Revue des Nouvelles Technologies de l'Information,EGC,2013,Accélération de la méthode des K plus proches voisins pour la catégorisation de textes,"Parmi la panoplie de classificateurs utilisés dans la catégorisation de textes, nous nous intéressons à l'algorithme des k-voisins les plus proches. Ces performances le situent parmi les meilleures méthodes de catégorisation de textes. Toutefois, il présente certaines limites: (i) coût mémoire car il faut stocker l'ensemble d'apprentissage en entier et (ii) coût élevé de calcul car il doit explorer l'ensemble d'apprentissage pour classer un nouveau document. Dans ce papier, nous proposons une nouvelle démarche pour réduire ce temps de classification sans dégrader les performances de classification.","Fatiha Barigou, Baghdad Atmani, Youcef Bouziane, Naouel Barigou",http://editions-rnti.fr/render_pdf.php?p1&p=1001841,http://editions-rnti.fr/render_pdf.php?p=1001841,accélération méthode k plus proche voisin catégorisation texte,"parmi panoplie classificateur utiliser catégorisation texte , intéresser l'algorithme k-voisins plus proche . ces performance situer parmi meilleur méthode catégorisation texte . toutefois , présenter certaines limite : ( i ) coût mémoire falloir stocker l'ensemble d'apprentissage entier ( ii ) coût élevé calcul explorer l'ensemble d'apprentissage classer document . dans papier , proposer nouveau démarche réduire temps classification dégrader performance classification ."
385,Revue des Nouvelles Technologies de l'Information,EGC,2013,Analyse conceptuelle de données de simulation de systèmes complexes pour l'aide à la décision : Application à la conception d'une cabine d'avion,"Dans cet article nous présentons une approche conceptuelle d'aide à la décision dans la conception de systèmes complexes. Cette approche s'appuie sur le formalisme de l'analyse de concepts formels par similarité (ACFS) pour la classification, la visualisation et l'exploration de données de simulation afin d'aider les concepteurs de systèmes complexes à identifier les choix de conception les plus pertinents. L'approche est illustrée sur un cas test de conception de cabine d'un avion de ligne fourni par les partenaires industriels et qui consiste à étudier les données de simulation de différentes configurations du système de ventilation de la cabine afin d'identifier celles qui assurent un confort convenable pour les passagers la cabine. La classification des données de simulation avec leurs scores de confort en utilisant l'ACFS permet d'identifier pour chaque paramètre de conception simulé la plage de valeurs possibles qui assure un confort convenable pour les passagers. Les résultats obtenus ont été confirmés et validés par de nouvelles simulations.","Nizar Messai, Cassio Melo, Mohamed Hamdaoui, Dung Bui, Marie-Aude Aufaure",http://editions-rnti.fr/render_pdf.php?p1&p=1001835,http://editions-rnti.fr/render_pdf.php?p=1001835,analyser conceptuelle donnée simulation système complexe l'aide décision : application conception d'une cabine d'avion,"dans article présenter approche conceptuelle d'aide décision conception système complexe . cette approche s'appuie formalisme l'analyse concept formels similarité ( acfs ) classification , visualisation l'exploration donnée simulation afin d'aider concepteur système complexe identifier choix conception plus pertinents . l'approche illustrée cas test conception cabine d'un avion ligne fournir partenaire industriel consister étudier donnée simulation différentes configuration système ventilation cabine afin d'identifier celles assurer confort convenable passager cabine . la classification donnée simulation score confort utiliser l'acfs permettre d'identifier paramétrer conception simuler plage valeur possibles assurer confort convenable passager . les résultat obtenir confirmer validés nouveau simulation ."
386,Revue des Nouvelles Technologies de l'Information,EGC,2013,Analyse de réseaux sociaux par l'analyse formelle de concepts,"L'analyse formelle de concepts (AFC) est un formalisme de représentation et d'extraction de connaissance fondé sur les notions de concepts et de treillis de concepts (Galois).L'AFC a été exploitée avec succès dans plusieurs domaines en informatique tels le génie logiciel, les bases et entrepôts de données, l'extraction et la gestion de la connaissance et dans plusieurs applications du monde réel comme la médecine, la psychologie, la linguistique et la sociologie.Dans cette présentation, nous allons explorer le potentiel de l'AFC et de quelques extensions de cette théorie (ex. analyse triadique de concepts) dans l'analyse de réseaux sociaux en vue de découvrir des connaissances à partir de réseaux homogènes simples (ex. détection de communautés et d'individus influents à partir d'un réseau d'amis) ou même de réseaux hétérogènes (ex. extraction de règles d'association d'un réseau bibliographique).",Rokia Missaoui,http://editions-rnti.fr/render_pdf.php?p1&p=1001814,http://editions-rnti.fr/render_pdf.php?p=1001814,analyser réseau sociaux l'analyse formelle concept,"l'analyse formelle concept ( afc ) formalisme représentation d'extraction connaissance fonder notion concept treillis concept ( galois ) .l'afc exploiter succès plusieurs domaine informatique génie logiciel , base entrepôt donnée , l'extraction gestion connaissance plusieurs application monde réel médecine , psychologie , linguistique sociologie.dans présentation , aller explorer potentiel l'afc quelques extension théorie ( ex . analyser triadique concept ) l'analyse réseau sociaux vue découvrir connaissance partir réseau homogènes simple ( ex . détection communauté d'individus influents partir d'un réseau d'amis ) réseau hétérogènes ( ex . extraction règle d'association d'un réseau bibliographique ) ."
387,Revue des Nouvelles Technologies de l'Information,EGC,2013,Analyse des réclamations d'allocataires de la CAF : un cas d'étude en fouille de données,"La gestion des réclamations est un élément fondamental dans la relation client. C'est le cas en particulier pour la Caisse Nationale des Allocations Familiales qui veut mettre en place une politique nationale pour faciliter cette gestion. Dans cet article, nous décrivons la démarche que nous avons adoptée afin de traiter automatiquement les réclamations provenant d'allocataires de la CAF du Rhône. Les données brutes mises à notre disposition nécessitent une série importante de prétraitements pour les rendre utilisables. Une fois ces données correctement nettoyées, des techniques issues de l'analyse des données et de l'apprentissage non supervisé nous permettent d'extraire à la fois une typologie des réclamations basée sur leur contenu textuel mais aussi une typologie des allocataires réclamants. Après avoir présenté ces deux typologies, nous les mettons en correspondance afin de voir comment les allocataires se distribuent selon les différents types de réclamation.","Sabine Loudcher, Julien Velcin, Vincent Forissier, Cyril Broilliard, Philippe Simonnot",http://editions-rnti.fr/render_pdf.php?p1&p=1001866,http://editions-rnti.fr/render_pdf.php?p=1001866,analyser réclamation d'allocataires caf : cas d'étude fouille donnée,"la gestion réclamation élément fondamental relation client . c'est cas particulier caisse nationale allocation familiale vouloir mettre place politique nationale faciliter gestion . dans article , décrivons démarche adopter afin traiter automatiquement réclamation provenir d'allocataires caf rhône . les donnée brute mettre disposition nécessiter série importante prétraitements rendre utilisables . une donnée correctement nettoyées , technique issir l'analyse donnée l'apprentissage non superviser permettre d'extraire typologie réclamation baser contenu textuel typologie allocataire réclamants . après présenter typologie , mettre correspondance afin voir allocataire distribuer selon différent type réclamation ."
388,Revue des Nouvelles Technologies de l'Information,EGC,2013,Analyse Relationnelle de Concepts pour l'exploration de données relationnelles,"L'Analyse Relationnelle de Concepts (ARC) est une extension de l'Analyse Formelle de Concepts (AFC), une méthode de classification non supervisée d'objets sous forme de treillis de concepts. L'ARC supporte en plus la gestion de relations entre objets de différents contextes ce qui permet d'établir des liens entre les concepts des différents treillis. Cette particularité lui permet d'être plus intuitive à utiliser pour extraire des connaissances à partir de données relationnelles et de donner des résultats plus riches. Malheureusement lorsque les jeux de données présentent de nombreuses relations, les résultats obtenus sont difficilement exploitables et des problèmes de passages à l'échelle se posent. Nous proposons dans cet article une adaptation possible de l'ARC pour explorer les relations de manière supervisée pour augmenter la pertinence des résultats obtenus et réduire le temps de calcul. Nous prenons pour exemple des données hydrobiologiques ayant trait à la qualité des milieux aquatiques.","Xavier Dolques, Florence Le Ber, Marianne Huchard, Clémentine Nebut",http://editions-rnti.fr/render_pdf.php?p1&p=1001829,http://editions-rnti.fr/render_pdf.php?p=1001829,analyser relationnelle concept l'exploration donnée relationnelles,"l'analyse relationnelle concept ( arc ) extension l'analyse formelle concept ( afc ) , méthode classification non superviser d'objets forme treillis concept . l'arc supporter plus gestion relation entre objet différent contexte permettre d'établir lien entre concept différent treillis . cette particularité permettre d'être plus intuitif utiliser extraire connaissance partir donnée relationnelles donner résultat plus riche . malheureusement lorsque jeu donnée présenter nombreuses relation , résultat obtenir difficilement exploitables problème passage l'échelle poser . nous proposer article adaptation possible l'arc explorer relation manière supervisée augmenter pertinence résultat obtenir réduire temps calcul . nous prendre exemple donnée hydrobiologiques trait qualité milieu aquatiques ."
389,Revue des Nouvelles Technologies de l'Information,EGC,2013,Approche orientée objet sémantique et coopérative pour la classification des images de zones urbaines à très haute résolution,"La classification orientée objet (COO) prend de plus en plus de dimension dans les travaux de télédétection grâce à sa capacité d'intégrer des connaissances de haut niveau telles que la taille, la forme et les informations de voisinage. Cependant, les approches existantes restent tributaires de l'étape de construction des objets à cause de l'absence d'interaction entre celle-ci et celle de leur identification. Dans cet article, nous proposons une approche sémantique, hiérarchique et collaborative entre les algorithmes de croissances de régions et une classification orientée objet supervisée, permettant une coopération entre l'extraction et l'identification des objets de l'image. Les expériences menées sur une image de très haute résolution de la région de Strasbourg ont confirmé l'intérêt de l'approche introduite.","Aymen Sellaouti, Atef Hamouda, Aline Deruyver, Cédric Wemmert",http://editions-rnti.fr/render_pdf.php?p1&p=1001827,http://editions-rnti.fr/render_pdf.php?p=1001827,approche orienter objet sémantique coopérative classification image zone urbaines haute résolution,"la classification orienter objet ( coo ) prendre plus plus dimension travaux télédétection grâce capacité d'intégrer connaissance niveau telles taille , forme information voisinage . cependant , approche existantes rester tributaires l'étape construction objet cause l'absence d'interaction entre celle-ci celle identification . dans article , proposer approche sémantique , hiérarchique collaborative entre algorithme croissance région classification orienter objet supervisée , permettre coopération entre l'extraction l'identification objet l'image . les expérience mener image haute résolution région strasbourg confirmer l'intérêt l'approche introduire ."
390,Revue des Nouvelles Technologies de l'Information,EGC,2013,Classification multi-étiquettes pour l'alignement multiple de séquences protéiques,"Cet article présente une application de classification multi-étiquettes permettant de déterminer le programme à utiliser pour construire un alignement multiple d'un ensemble de séquences protéiques donné. Dans un premier temps, nous avons réussi à améliorer le système existant, Alexsys en ajoutant des attributs. Dans un second temps, nous déterminons pour un ensemble de séquences protéiques donné le ou les aligneurs capable de produire les alignements de meilleur score, à epsilon près. Les mesures de performances propres à la classification multi-étiquette nous permettent d'analyser l'influence de epsilon et de choisir une valeur assez petite pour distinguer les meilleurs aligneurs des autres.","Lina Fahed, Gabriel Frey, Julie Dawn Thompson, Nicolas Lachiche",http://editions-rnti.fr/render_pdf.php?p1&p=1001864,http://editions-rnti.fr/render_pdf.php?p=1001864,classification multi-étiquettes l'alignement multiple séquence protéiques,"cet article présenter application classification multi-étiquettes permettre déterminer programme utiliser construire alignement multiple d'un ensemble séquence protéiques donner . dans premier temps , réussir améliorer système existant , alexsys ajouter attribut . dans second temps , déterminer ensemble séquence protéiques donner aligneurs capable produire alignement meilleur score , epsilon près . les mesure performance propre classification multi-étiquette permettre d'analyser l'influence epsilon choisir assez petit distinguer meilleur aligneurs autres ."
391,Revue des Nouvelles Technologies de l'Information,EGC,2013,Classifications croisées de données de trajectoires contraintes par un réseau routier,"Le clustering (ou classification non supervisée) de trajectoires a fait l'objet d'un nombre considérable de travaux de recherche. La majorité de ces travaux s'est intéressée au cas où les objets mobiles engendrant ces trajectoires se déplacent librement dans un espace euclidien et ne prennent pas en compte les contraintes liées à la structure sous-jacente du réseau qu'ils parcourent (ex. réseau routier). Dans le présent article, nous proposons au contraire la prise en compte explicite de ces contraintes. Nous représenterons les relations entre trajectoires et segments routiers par un graphe biparti et nous étudierons la classification de ses sommets. Nous illustrerons, sur un jeu de données synthétiques, l'utilité d'une telle étude pour comprendre la dynamique du mouvement dans le réseau routier et analyser le comportement des véhicules qui l'empruntent.","Mohamed K. El Mahrsi, Romain Guigourès, Fabrice Rossi, Marc Boullé",http://editions-rnti.fr/render_pdf.php?p1&p=1001854,http://editions-rnti.fr/render_pdf.php?p=1001854,classification croisé donnée trajectoire contrainte réseau routier,"le clustering ( classification non supervisée ) trajectoire l'objet d'un nombre considérable travaux recherche . la majorité travaux s'est intéresser cas objet mobile engendrer trajectoire déplacer librement espace euclidien prendre compte contrainte lier structure sous-jacente réseau qu'ils parcourir ( ex . réseau routier ) . dans présent article , proposer contraire prise compte expliciter contrainte . nous représenter relation entre trajectoire segment routier graphe biparti étudier classification sommet . nous illustrer , jeu donnée synthétiques , l'utilité d'une telle étude comprendre dynamique mouvement réseau routier analyser comportement véhicule l'empruntent ."
392,Revue des Nouvelles Technologies de l'Information,EGC,2013,Comprendre et interpréter les données : enjeux et implantations d'un système de codage dans des gisements de données historiques,"L'accès croissant à une information pléthorique et le développement de gisements de données ambitieux posent aujourd'hui deux grands types de difficultés aux historiens.Le premier consiste à mettre en relation des gisements qui ont été développés de manière indépendante. C'est par exemple le cas pour l'intégration d'un ensemble de bases de données prosopographiques développées entre 1980 et 2010 au Lamop, ou même dans le cadre d'un projet dont le seul lien est une problématique spatiale et temporelle (projet ANR-DFG, Euroscientia).Le deuxième tient en la nature des données introduites dans ces différents systèmes : elles sont souvent hétérogènes, ambiguës, floues. Pour que le chercheur puisse se les approprier, les données doivent faire l'objet d'un véritable travail, afin de comprendre comment elles ont été obtenues, structurées. L'historien doit donc les évaluer et les valider s'il souhaite les mettre en relation. Cette évaluation nécessitant, elle-même de pouvoir être commentée, partagée et critiquée par d'autres chercheurs.Dans les deux cas, il est nécessaire de développer des outils d'appropriation, qui permettent d'entrer dans le réel historique contenu dans les stocks de données. C'est là la fonction du projet Histobase, un système permettant d'entrer dans la structuration des gisements, d'en évaluer l'information, d'ajouter des couches d'interprétation (qualification de l'information historique) de les évaluer et de partager les données « obtenues ». Chacune des analyses individuelles et collectives fait l'objet d'une mémorisation. Il faut pour cela laisser une place importante aux historiens en tant qu'expert en prêtant une attention particulière aux processus métiers qu'ils mettent en oeuvre.","Stéphane Lamassé, Julien Alerini",http://editions-rnti.fr/render_pdf.php?p1&p=1001816,http://editions-rnti.fr/render_pdf.php?p=1001816,comprendre interpréter donnée : enjeu implantation d'un système codage gisement donnée historique,"l'accès croissant information pléthorique développement gisement donnée ambitieux poser aujourd'hui grand type difficulté historiens.le premier consister mettre relation gisement développé manière indépendant . c'est exemple cas l'intégration d'un ensemble base donnée prosopographiques développer entre 1980 2010 lamop , cadre d'un projet dont seul lien problématique spatiale temporelle ( projet anr-dfg , euroscientia ) .le deuxième tenir nature donnée introduire différent système : souvent hétérogènes , ambiguës , floues . pour chercheur pouvoir approprier , donnée devoir l'objet d'un véritable travail , afin comprendre obtenir , structurer . l'historien évaluer valider s'il souhaiter mettre relation . cette évaluation nécessitant , elle-même pouvoir commenter , partager critiquer d'autres chercheurs.dans cas , nécessaire développer outil d'appropriation , permettre d'entrer réel historique contenir stock donnée . c'est fonction projet histobase , système permettre d'entrer structuration gisement , d'en évaluer l'information , d'ajouter couche d'interprétation ( qualification l'information historique ) évaluer partager donnée « obtenir » . chacune analyse individuel collectives l'objet d'une mémorisation . il falloir laisser place importante historien tant qu'expert prêter attention particulière processus métier qu'ils mettre oeuvre ."
393,Revue des Nouvelles Technologies de l'Information,EGC,2013,Construction de descripteurs à partir du coclustering pour la classification supervisée de séries temporelles,"Nous présentons un processus de construction de descripteurs pour la classification supervisée de séries temporelles. Ce processus est libre de tout paramétrage utilisateur et se décompose en trois étapes : (i) à partir des données originales, nous générons de multiples nouvelles représentations simples ; (ii) sur chacune de ces représentations, nous appliquons un algorithme de coclustering ; (iii) à partir des résultats de co-clustering, nous construisons de nouveaux descripteurs pour les séries temporelles. Nous obtenons une nouvelle base de données objets-attributs dont les objets (identifiant les séries temporelles) sont décrits par des attributs issus des diverses représentations générées. Nous utilisons un classifieur Bayésien sur cette nouvelle base de données. Nous montrons expérimentalement que ce processus offre de très bonnes performances prédictives comparées à l'état de l'art.","Dominique Gay, Marc Boullé",http://editions-rnti.fr/render_pdf.php?p1&p=1001855,http://editions-rnti.fr/render_pdf.php?p=1001855,construction descripteur partir coclustering classification supervisée série temporelles,"nous présenter processus construction descripteur classification supervisée série temporelles . ce processus libre paramétrage utilisateur décomposer trois étape : ( i ) partir donnée original , générer multiple nouveau représentation simple ; ( ii ) chacune représentation , appliquer algorithme coclustering ; ( iii ) partir résultat co-clustering , construire descripteur série temporelles . nous obtenir nouveau base donnée objets-attributs dont objet ( identifiant série temporelles ) décrire attribut issir diverses représentation générer . nous utiliser classifieur bayésien nouveau base donnée . nous montrer expérimentalement processus offrir bonne performance prédictives comparer l'état l'art ."
394,Revue des Nouvelles Technologies de l'Information,EGC,2013,Découverte des soft-skypatterns avec une approche PPC,"Les skypatterns sont des motifs traduisant des préférences de l'utilisateur selon une relation de dominance. Dans cet article, nous introduisons la notion de souplesse dans la problématique des skypatterns et nous montrons comment celle-ci permet de découvrir des motifs intéressants qui seraient manqués autrement. Nous proposons une méthode efficace d'extraction de skypatterns ainsi que de soft-skypatterns, méthode fondée sur la programmation par contraintes. La pertinence de notre approche est illustrée à travers une étude de cas en chémoinformatique pour la découverte de toxicophores.","Willy Ugarte, Patrice Boizumault, Samir Loudni, Bruno Crémilleux, Alban Lepailleur",http://editions-rnti.fr/render_pdf.php?p1&p=1001838,http://editions-rnti.fr/render_pdf.php?p=1001838,découverte soft-skypatterns approche ppc,"les skypatterns motif traduire préférence l'utilisateur selon relation dominance . dans article , introduisons notion souplesse problématique skypatterns montrer celle-ci permettre découvrir motif intéressants manquer autrement . nous proposer méthode efficace d'extraction skypatterns ainsi soft-skypatterns , méthode fonder programmation contrainte . la pertinence approcher illustrer travers étude cas chémoinformatique découverte toxicophores ."
395,Revue des Nouvelles Technologies de l'Information,EGC,2013,Detecting Academic Plagiarism with Graphs,"In this paper, we tackle the problem of detecting academic plagiarism, which is considered as a severe problem owing to the convenience of online publishing. Typical information retrieval methods, stopword-based methods and ngerprinting methods, are commonly used to detect plagiarism by using the sequence of words as they appear in the article. As such, they fail to detect plagiarism when an author reconstructs a source article by re-ordering and recombining phrases. Because graph structure ts for representing relationships between entities, we propose a novel plagiarism detection method, in which we use graphs to represent documents by modeling grammatical relationships between words. Experimental results show that our proposed method outperforms two n-gram methods and increases recall values by 10 to 20%.","Bin-Hui Chou, Einoshin Suzuki",http://editions-rnti.fr/render_pdf.php?p1&p=1001848,http://editions-rnti.fr/render_pdf.php?p=1001848,Detecting Academic Plagiarism with Graphs,"In this paper, we tackle the problem of detecting academic plagiarism, which is considered as a severe problem owing to the convenience of online publishing. Typical information retrieval methods, stopword-based methods and ngerprinting methods, are commonly used to detect plagiarism by using the sequence of words as they appear in the article. As such, they fail to detect plagiarism when an author reconstructs a source article by re-ordering and recombining phrases. Because graph structure ts for representing relationships between entities, we propose a novel plagiarism detection method, in which we use graphs to represent documents by modeling grammatical relationships between words. Experimental results show that our proposed method outperforms two n-gram methods and increases recall values by 10 to 20%."
